term,IDSeasonYearHerd,estimate,estimate_fix,estimate_id,ANIMAL_ID,SEASON,YEAR,HERD
bufConiferScrub,sc2007063_calving_2008_LAPOILE,2.32648953539971,0.232619552387864,2.55910908778757,sc2007063,calving,2008,LAPOILE
bufConiferScrub,sc2006017_calving_2010_BUCHANS,0.543172180971346,0.232619552387864,0.77579173335921,sc2006017,calving,2010,BUCHANS
bufConiferScrub,sc2006015_winter_2009_BUCHANS,-2.05358802711958,0.232619552387864,-1.82096847473171,sc2006015,winter,2009,BUCHANS
bufConiferScrub,sc2006017_winter_2007_BUCHANS,0.127443824119927,0.232619552387864,0.360063376507791,sc2006017,winter,2007,BUCHANS
bufConiferScrub,sc2006015_winter_2012_BUCHANS,-1.48686377811728,0.232619552387864,-1.25424422572942,sc2006015,winter,2012,BUCHANS
bufConiferScrub,sc2007063_calving_2009_LAPOILE,1.54801803221453,0.232619552387864,1.78063758460239,sc2007063,calving,2009,LAPOILE
bufConiferScrub,sc2006017_calving_2011_BUCHANS,2.35558435182395,0.232619552387864,2.58820390421181,sc2006017,calving,2011,BUCHANS
bufConiferScrub,sc2007063_winter_2008_LAPOILE,2.67947213120265,0.232619552387864,2.91209168359052,sc2007063,winter,2008,LAPOILE
bufConiferScrub,sc2006017_winter_2008_BUCHANS,-1.57893347347439,0.232619552387864,-1.34631392108652,sc2006017,winter,2008,BUCHANS
bufConiferScrub,sc2006015_winter_2013_BUCHANS,-0.487372976895436,0.232619552387864,-0.254753424507572,sc2006015,winter,2013,BUCHANS
bufConiferScrub,sc2007063_calving_2010_LAPOILE,2.8998348746206,0.232619552387864,3.13245442700846,sc2007063,calving,2010,LAPOILE
bufConiferScrub,sc2006016_calving_2008_BUCHANS,-0.760130733783477,0.232619552387864,-0.527511181395613,sc2006016,calving,2008,BUCHANS
bufConiferScrub,sc2007063_winter_2009_LAPOILE,0.232996776213373,0.232619552387864,0.465616328601237,sc2007063,winter,2009,LAPOILE
bufConiferScrub,sc2006017_winter_2009_BUCHANS,0.524925674093928,0.232619552387864,0.757545226481792,sc2006017,winter,2009,BUCHANS
bufConiferScrub,sc2006016_calving_2006_BUCHANS,0.413494576288844,0.232619552387864,0.646114128676708,sc2006016,calving,2006,BUCHANS
bufConiferScrub,sc2007063_winter_2007_LAPOILE,1.21004404961042,0.232619552387864,1.44266360199828,sc2007063,winter,2007,LAPOILE
bufConiferScrub,sc2006016_calving_2009_BUCHANS,-2.03805519758406,0.232619552387864,-1.80543564519619,sc2006016,calving,2009,BUCHANS
bufConiferScrub,sc2007063_winter_2010_LAPOILE,3.37663310897753,0.232619552387864,3.60925266136539,sc2007063,winter,2010,LAPOILE
bufConiferScrub,sc2006017_winter_2010_BUCHANS,-0.914322546202176,0.232619552387864,-0.681702993814312,sc2006017,winter,2010,BUCHANS
bufConiferScrub,sc2006016_calving_2007_BUCHANS,-0.876957902041555,0.232619552387864,-0.644338349653691,sc2006016,calving,2007,BUCHANS
bufConiferScrub,sc2006018_calving_2006_BUCHANS,1.30051651370636,0.232619552387864,1.53313606609422,sc2006018,calving,2006,BUCHANS
bufConiferScrub,sc2006016_calving_2010_BUCHANS,-0.283085934027066,0.232619552387864,-0.0504663816392023,sc2006016,calving,2010,BUCHANS
bufConiferScrub,sc2007063_winter_2011_LAPOILE,2.4993543661033,0.232619552387864,2.73197391849117,sc2007063,winter,2011,LAPOILE
bufConiferScrub,sc2006017_winter_2011_BUCHANS,-1.42185886729417,0.232619552387864,-1.1892393149063,sc2006017,winter,2011,BUCHANS
bufConiferScrub,sc2007066_winter_2007_LAPOILE,2.33293386528962,0.232619552387864,2.56555341767748,sc2007066,winter,2007,LAPOILE
bufConiferScrub,sc2006018_calving_2007_BUCHANS,0.372599533177597,0.232619552387864,0.605219085565461,sc2006018,calving,2007,BUCHANS
bufConiferScrub,sc2006016_calving_2011_BUCHANS,-0.612553160010869,0.232619552387864,-0.379933607623005,sc2006016,calving,2011,BUCHANS
bufConiferScrub,sc2007066_calving_2007_LAPOILE,1.03736115418097,0.232619552387864,1.26998070656883,sc2007066,calving,2007,LAPOILE
bufConiferScrub,sc2006017_winter_2012_BUCHANS,-1.97927524977578,0.232619552387864,-1.74665569738792,sc2006017,winter,2012,BUCHANS
bufConiferScrub,sc2007066_winter_2008_LAPOILE,1.72049196149545,0.232619552387864,1.95311151388331,sc2007066,winter,2008,LAPOILE
bufConiferScrub,sc2006018_calving_2008_BUCHANS,-1.97834571214401,0.232619552387864,-1.74572615975614,sc2006018,calving,2008,BUCHANS
bufConiferScrub,sc2006016_calving_2012_BUCHANS,0.387902743794346,0.232619552387864,0.62052229618221,sc2006016,calving,2012,BUCHANS
bufConiferScrub,sc2007066_calving_2008_LAPOILE,-2.39272297079336,0.232619552387864,-2.16010341840549,sc2007066,calving,2008,LAPOILE
